VDOT,E_secs/mile,E_secs/km,M_secs/mile,M_secs/km,T_secs/400m,T_secs/1000m,T_secs/mile,I_secs/400m,I_secs/1000m,I_secs/1200m,I_secs/mile,R_secs/200m,R_secs/400m,R_secs/800m
30,760,472,661,411,153,384,618,142,,,,67,136,
31,742,461,645,401,150,374,602,138,,,,65,132,
32,724,450,629,391,146,365,587,134,,,,63,128,
33,708,440,614,381,143,356,573,131,,,,62,125,
34,692,430,600,373,139,348,560,128,,,,60,122,
35,677,421,586,364,136,340,547,125,,,,59,119,
36,662,412,573,356,133,333,535,122,307,,,57,115,
37,649,403,560,348,130,325,524,119,300,,,56,113,
38,635,395,548,341,127,319,513,116,294,,,54,110,
39,623,387,537,333,125,312,502,114,288,,,53,108,
40,611,379,526,327,122,306,492,112,282,,,52,106,
41,599,372,515,320,120,300,482,110,276,,,51,104,
42,588,365,505,314,117,294,472,108,271,,,50,102,
43,577,358,495,308,115,289,462,106,266,,,49,100,
44,567,352,486,302,113,283,453,104,261,,,48,98,
45,557,346,477,296,111,278,445,102,256,,,47,96,
46,547,340,468,291,109,273,437,100,252,300,,46,94,
47,538,334,460,286,107,269,430,98,247,294,,45,92,
48,529,328,452,281,105,264,422,96,243,289,,44,90,
49,520,323,444,276,103,260,415,95,239,285,,44,89,
50,512,318,437,271,102,255,411,93,235,281,,43,87,
51,504,313,429,267,100,251,404,92,231,276,,42,86,
52,496,308,422,262,98,247,398,91,228,273,,42,85,
53,489,304,416,258,97,244,392,90,224,269,,41,84,
54,481,299,409,254,95,240,386,88,221,265,,40,82,
55,474,295,403,250,94,236,380,87,217,261,,40,81,
56,468,290,397,246,93,233,375,86,214,258,,39,80,
57,461,286,391,243,91,230,369,85,211,255,,39,79,
58,454,282,385,239,90,225,364,83,208,250,,38,77,
59,448,278,379,235,89,223,359,82,205,247,,37,76,
60,442,275,374,232,88,220,354,81,203,243,,37,75,150
61,436,271,369,229,86,217,350,80,200,240,,36,74,148
62,431,267,364,226,85,214,345,79,197,237,,36,73,146
63,425,264,359,223,84,212,341,78,195,234,,35,72,144
64,420,261,354,220,83,209,336,77,192,231,,35,71,142
65,414,258,349,217,82,206,332,76,190,228,,34,70,140
66,409,254,345,214,81,204,328,75,188,225,300,34,69,138
67,404,251,340,211,80,201,324,74,185,222,297,33,68,136
68,399,248,336,208,79,199,320,73,183,219,293,33,67,134
69,395,245,332,206,78,196,316,72,181,216,290,32,66,132
70,390,242,328,203,77,194,313,71,179,214,286,32,65,130
71,386,240,324,201,76,192,309,70,177,211,283,31,64,128
72,381,237,320,199,76,190,305,69,175,209,280,31,63,126
73,377,234,316,196,75,188,302,69,173,207,277,31,62,125
74,373,232,312,194,74,186,299,68,171,205,274,30,62,124
75,369,229,309,192,74,184,296,67,169,202,271,30,61,123
76,365,227,305,190,73,182,292,66,168,200,268,29,60,122
77,361,224,301,187,72,180,289,65,166,198,265,29,59,120
78,357,222,298,185,71,178,286,65,164,196,263,29,59,119
79,354,220,295,183,70,176,283,64,162,194,260,28,58,118
80,350,212,292,181,70,174,281,64,161,192,257,28,58,116
81,346,215,289,179,69,173,278,63,159,190,255,28,57,115
82,343,213,286,177,68,171,275,62,158,188,252,27,56,114
83,340,211,283,176,68,169,272,62,156,187,250,27,56,113
84,336,209,280,174,67,168,270,61,155,185,248,27,55,112
85,333,207,277,172,66,166,267,61,153,183,245,27,55,111
