VDOT,1500m,1 mile,3000m,2 miles,5000m,"10,000m",15km,Half marathon,Marathon
30,510,551,1076,1159,1840,3826,5894,8464,17357
31,495,535,1047,1128,1791,3723,5736,8241,16917
32,482,521,1019,1098,1745,3626,5587,8029,16499
33,469,507,993,1070,1701,3534,5445,7827,16102
34,457,494,969,1044,1659,3446,5310,7636,15723
35,445,481,945,1018,1620,3363,5182,7453,15363
36,434,469,923,994,1582,3284,5060,7279,15019
37,424,458,901,971,1546,3209,4944,7114,14690
38,414,447,881,949,1512,3137,4833,6955,14375
39,404,437,861,929,1479,3069,4727,6804,14074
40,395,427,843,908,1448,3003,4626,6659,13785
41,387,418,825,889,1418,2941,4529,6520,13509
42,379,409,808,871,1389,2881,4436,6387,13243
43,371,401,791,853,1361,2824,4347,6260,12988
44,363,392,775,836,1335,2769,4262,6137,12743
45,356,385,760,820,1310,2716,4180,6020,12506
46,349,377,746,805,1285,2665,4102,5907,12279
47,342,370,732,790,1262,2616,4026,5798,12060
48,336,363,718,775,1239,2570,3953,5693,11849
49,330,356,705,761,1218,2524,3884,5592,11646
50,324,350,693,748,1197,2481,3816,5495,11449
51,318,344,681,735,1176,2439,3751,5402,11259
52,313,338,669,722,1157,2399,3689,5311,11076
53,307,332,658,710,1138,2360,3628,5224,10899
54,302,327,647,699,1120,2322,3570,5140,10727
55,297,321,637,688,1102,2286,3513,5058,10561
56,293,316,627,677,1085,2251,3459,4980,10400
57,288,311,617,666,1069,2217,3406,4903,10245
58,284,306,608,656,1053,2184,3355,4830,10094
59,279,302,598,646,1037,2152,3306,4758,9947
60,275,297,590,637,1023,2122,3258,4689,9805
61,271,293,581,627,1008,2092,3212,4622,9668
62,267,289,573,618,994,2063,3167,4557,9534
63,264,285,565,610,980,2035,3123,4494,9404
64,260,281,557,601,967,2008,3081,4433,9278
65,256,277,549,593,954,1981,3040,4373,9155
66,253,273,542,585,942,1955,3000,4316,9036
67,250,270,535,577,929,1931,2962,4260,8920
68,246,266,528,570,918,1906,2924,4205,8807
69,243,263,521,563,906,1883,2888,4152,8697
70,240,259,514,556,895,1860,2852,4101,8590
71,237,256,508,549,884,1838,2818,4051,8486
72,234,253,502,542,873,1816,2784,4002,8384
73,232,250,496,535,863,1795,2751,3954,8285
74,229,247,490,529,853,1774,2719,3908,8189
75,226,244,484,523,843,1754,2688,3863,8095
76,224,242,478,517,834,1735,2658,3819,8003
77,221,238,473,511,824,1716,2629,3776,7914
78,218.8,236.2,468,505,815,1697,2600,3735,7827
79,216.5,233.7,463,500,806,1679,2572,3694,7742
80,214.2,231.2,457.5,494.2,797.8,1661.2,2545,3654,7658
81,211.9,228.7,452.5,488.9,789.3,1644,2518,3615,7577
82,209.7,226.4,447.7,483.7,781.1,1627,2492,3578,7497
83,207.6,224,443,478.6,773,1611,2466,3541,7420
84,205.5,221.8,438.5,473.6,765.2,1594,2442,3505,7344
85,203.5,219.6,434,468.8,757.4,1579,2417,3470,7270
